Tissue,TF,Regulon size,Overlap size,TF-target ppi_edges,Overlap coefficient
FP,CSNK2A1,56,3,CSNK2A1-HECW2;CSNK2A1-KPNA1;CSNK2A1-NR2C2,0.05357142857142857
FP,NR2C2,96,1,CSNK2A1-NR2C2,0.010416666666666666
HCN,YBX3,53,1,CDK2-YBX3,0.018867924528301886
IFG,EAF1,153,1,APP-EAF1,0.006535947712418301
IFG,LMO4,629,1,GSK3B-LMO4,0.001589825119236884
IFG,MAML1,394,1,EP300-MAML1,0.0025380710659898475
IFG,MAP2K1,545,1,HSP90AB1-MAP2K1,0.001834862385321101
IFG,USP7,190,2,PPP2CA-USP7;SNCA-USP7,0.010526315789473684
IFG,XRCC3,230,1,APP-XRCC3,0.004347826086956522
IFG,YAP1,73,1,OTUB1-YAP1,0.0136986301369863
PCC,KAT7,68,1,CSNK2A1-KAT7,0.014705882352941176
PCC,YBX3,49,2,CDK2-YBX3;ICAM1-YBX3,0.04081632653061224
PG,IFI16,31,1,CASP1-IFI16,0.03225806451612903
PG,JUNB,29,1,JUN-JUNB,0.034482758620689655
PG,MAP2K1,190,1,HSP90AB1-MAP2K1,0.005263157894736842
PG,NOTCH1,65,2,NOTCH1-NOTCH3;NOTCH1-USP15,0.03076923076923077
PG,NOTCH3,36,1,NOTCH1-NOTCH3,0.027777777777777776
PG,RELA,27,1,RELA-ZBED6,0.037037037037037035
PG,SVIL,90,1,PRNP-SVIL,0.011111111111111112
PG,TP53BP1,233,2,COPS5-TP53BP1;OGT-TP53BP1,0.008583690987124463
PG,YBX3,36,1,CDK2-YBX3,0.027777777777777776
STG,SCAND1,160,1,RER1-SCAND1,0.00625
TC,BIN1,69,1,BIN1-LIG1,0.014492753623188406
TC,CDK2,43,6,CASP4-CDK2;CDK2-CLIC1;CDK2-IL15RA;CDK2-PML;CDK2-TAGLN2;CDK2-YBX3,0.13953488372093023
TC,CEBPG,60,1,ATF4-CEBPG,0.016666666666666666
TC,CSNK2A1,80,5,CSNK2A1-ECD;CSNK2A1-KAT7;CSNK2A1-NAF1;CSNK2A1-NR2C2;CSNK2A1-PAFAH1B1,0.0625
TC,KAT7,60,1,CSNK2A1-KAT7,0.016666666666666666
TC,MXI1,38,1,CALCOCO2-MXI1,0.02631578947368421
TC,MYCN,66,1,MYCN-TBC1D10B,0.015151515151515152
TC,STAT3,93,1,FYN-STAT3,0.010752688172043012
cerebellum,ELK1,93,1,DNAJA1-ELK1,0.010752688172043012
cerebellum,JMJD6,318,1,HSPH1-JMJD6,0.0031446540880503146
cerebellum,NFE2L2,154,3,NFE2L2-RIT1;NFE2L2-SMARCA4;NFE2L2-USP11,0.01948051948051948
cerebellum,SND1,168,1,PINK1-SND1,0.005952380952380952
cerebellum,YBX3,58,1,CDK2-YBX3,0.017241379310344827
